date_1,K_RWB,K_RvegR,date_2,K_RL,K_RiM,date_3,B_RW,B_RVR,date_4,B_RL ,B_RiM,date_5,WR_RL,WR_RiM,date_6,M_RWB,M_Rwi,date_7,WR_RWM,WR_RWM_M,WR_RWM_WM,date_8,WR_RWB,WR_RWP,WR_RWP_WP
7/1/2032,-1.532996242,-1.515933364,7/1/2032,-1.516596515,-1.515933364,1/1/2032,-0.868848888,-0.868848888,1/1/2032,-0.863752177,-0.863565292,1/1/2032,-1.81271122,-1.81275156,1/1/2032,-1.742011956,-1.740322487,1/1/2033,-1.475845788,-1.523514136,-1.598755106,1/1/2032,-1.596044311,-1.78130104,-1.672088385
1/1/2033,-1.537458595,-1.536441939,1/1/2033,-1.539838333,-1.536441939,7/1/2032,-0.907382035,-0.907382035,7/1/2032,-0.928356735,-0.92582167,7/1/2032,-1.8410329,-1.84091978,7/1/2032,-1.736991912,-1.754026132,7/1/2033,-1.454038303,-1.501157167,-1.587575742,7/1/2032,-1.624365991,-1.789609446,-1.668910121
7/1/2033,-1.529020301,-1.541806303,7/1/2033,-1.54139853,-1.541806303,1/1/2033,-0.88252675,-0.88252675,1/1/2033,-0.875987716,-0.875802855,1/1/2033,-1.82028746,-1.82016348,1/1/2033,-1.743481908,-1.749371075,1/1/2034,-1.477422682,-1.432363394,-1.606919379,1/1/2033,-1.603620551,-1.792865188,-1.6786537
1/1/2034,-1.486186389,-1.503002697,1/1/2034,-1.499391303,-1.503002697,7/1/2033,-0.893837905,-0.893837905,7/1/2033,-0.941863343,-0.940199547,7/1/2033,-1.84535298,-1.84556492,7/1/2033,-1.740232101,-1.745696061,7/1/2034,-1.454120197,-1.528870576,-1.651340955,7/1/2033,-1.628686071,-1.795590267,-1.674337595
7/1/2034,-1.569754478,-1.561969561,7/1/2034,-1.561377561,-1.561969561,1/1/2034,-0.888326121,-0.888326121,1/1/2034,-0.882911249,-0.883705263,1/1/2034,-1.82286574,-1.82293706,1/1/2034,-1.743728838,-1.747461636,1/1/2035,-1.478590485,-1.469636318,-1.649069879,1/1/2034,-1.606198831,-1.800896317,-1.686073542
1/1/2035,-1.547498919,-1.512689742,1/1/2035,-1.517599182,-1.512689742,7/1/2034,-0.94197294,-0.94197294,7/1/2034,-0.924535574,-0.923450212,7/1/2034,-1.84176964,-1.84228476,7/1/2034,-1.742094838,-1.762579167,7/1/2035,-1.483047227,-1.553945955,-1.651480288,7/1/2034,-1.625102731,-1.806881436,-1.685442279
7/1/2035,-1.553769448,-1.560964788,7/1/2035,-1.563156318,-1.560964788,1/1/2035,-0.891704828,-0.891704828,1/1/2035,-0.883141485,-0.88150959,1/1/2035,-1.82471514,-1.82451872,1/1/2035,-1.74246668,-1.742064996,1/1/2036,-1.462851758,-1.476511091,-1.64999703,1/1/2035,-1.608048231,-1.812620792,-1.694622227
1/1/2036,-1.512904301,-1.509967424,1/1/2036,-1.508852561,-1.509967424,7/1/2035,-0.936437733,-0.936437733,7/1/2035,-0.976357802,-0.971896759,7/1/2035,-1.85612112,-1.85609232,7/1/2035,-1.739664066,-1.745419825,7/1/2036,-1.440865667,-1.507629727,-1.642307985,7/1/2035,-1.639454211,-1.818794743,-1.688755174
7/1/2036,-1.535530831,-1.545555212,7/1/2036,-1.547271409,-1.545555212,1/1/2036,-0.884205017,-0.884205017,1/1/2036,-0.888708464,-0.888816847,1/1/2036,-1.83186524,-1.83181706,1/1/2036,-1.749884408,-1.768985996,1/1/2037,-1.496926015,-1.507651212,-1.70300153,1/1/2036,-1.615198331,-1.817830436,-1.6956097
1/1/2037,-1.566235389,-1.571474394,1/1/2037,-1.582417379,-1.571474394,7/1/2036,-0.88202456,-0.88202456,7/1/2036,-0.878518769,-0.877426,7/1/2036,-1.82599878,-1.82593354,7/1/2036,-1.743036719,-1.758670145,7/1/2037,-1.470449894,-1.548042485,-1.685217258,7/1/2036,-1.609331871,-1.810046921,-1.677966069
